time,closing,moving average,signal
8/26/16 0:00,3307.09,3217.389167,
8/29/16 0:00,3307.78,3219.733833,
8/30/16 0:00,3311.99,3221.778167,
8/31/16 0:00,3327.79,3224.2615,
9/1/16 0:00,3301.58,3226.337,
9/2/16 0:00,3314.11,3228.839,
9/5/16 0:00,3319.68,3233.061333,
9/6/16 0:00,3342.63,3237.5055,
9/7/16 0:00,3340.82,3241.246333,
9/8/16 0:00,3339.56,3245.327833,
9/9/16 0:00,3318.04,3248.789167,
9/12/16 0:00,3262.6,3251.288,
9/13/16 0:00,3260.33,3253.854833,
9/14/16 0:00,3238.73,3255.601,Sell in the next trading day
9/19/16 0:00,3263.12,3258.031,Buy in the next trading day
9/20/16 0:00,3257.4,3261.035,Sell in the next trading day
9/21/16 0:00,3266.64,3263.47,Buy in the next trading day
9/22/16 0:00,3291.12,3266.048667,
9/23/16 0:00,3275.67,3268.12,
9/26/16 0:00,3220.28,3269.226,Sell in the next trading day
9/27/16 0:00,3240.75,3270.6685,
9/28/16 0:00,3230.89,3271.105,
9/29/16 0:00,3244.39,3271.721833,
9/30/16 0:00,3253.28,3272.329833,
10/10/16 0:00,3293.87,3273.7285,Buy in the next trading day
10/11/16 0:00,3306.56,3275.633167,
10/12/16 0:00,3300.01,3277.2445,
10/13/16 0:00,3302.65,3277.735667,
10/14/16 0:00,3305.85,3278.118667,
10/17/16 0:00,3277.88,3278.137333,Sell in the next trading day
10/18/16 0:00,3321.33,3278.888167,Buy in the next trading day
10/19/16 0:00,3316.24,3279.791833,
10/20/16 0:00,3318.6,3280.964667,
10/21/16 0:00,3327.74,3282.466833,
10/24/16 0:00,3367.58,3284.3845,
10/25/16 0:00,3367.45,3286.756,
10/26/16 0:00,3354.8,3288.821167,
10/27/16 0:00,3345.7,3290.089667,
10/28/16 0:00,3340.13,3292.121167,
10/31/16 0:00,3336.28,3294.040167,
11/1/16 0:00,3359.05,3296.6255,
11/2/16 0:00,3333.35,3299.2345,
11/3/16 0:00,3365.08,3302.168333,
11/4/16 0:00,3354.17,3304.846,
11/7/16 0:00,3356.59,3307.434333,
11/8/16 0:00,3371.12,3310.201167,
11/9/16 0:00,3353.05,3312.182333,
11/10/16 0:00,3390.61,3314.4095,
